Model Run,FPS,AVG_FPS,FPS,AVG_FPS
713,104.5,104.8,116.9,104.6
714,105.4,104.8,114.7,104.6
715,104.5,104.8,115.5,104.6
716,104.8,104.8,116.2,104.6
717,105.4,104.8,116.7,104.6
718,105.3,104.8,109.4,104.6
719,105.6,104.8,110,104.6
720,105.9,104.8,111.3,104.6
721,105.9,104.8,112.4,104.6
722,106.1,104.8,112.7,104.6
723,106.6,104.8,113.7,104.6
724,105.8,104.8,113.4,104.6
725,102.7,104.8,111.5,104.6
726,103.2,104.8,112.6,104.6
727,103.8,104.8,113.6,104.6
728,104.1,104.8,114.6,104.6
729,104.4,104.8,115.1,104.6
730,104.8,104.8,114.6,104.6
731,104.5,104.8,115.2,104.6
732,105.1,104.8,115.9,104.6
733,105.6,104.8,116.6,104.6
734,104.5,104.8,116.2,104.6
735,104.8,104.8,116.9,104.6
736,105.3,104.8,116.5,104.6
737,102.9,104.8,114.3,104.6
738,103.2,104.8,115.2,104.6
739,103.6,104.8,115.9,104.6
740,100.7,104.8,116.5,104.6
741,101.1,104.8,117,104.6
742,101.8,104.8,117.4,104.6
743,102.5,104.8,117.8,104.6
744,102.5,104.8,118.2,104.6
745,103,104.8,117.8,104.6
746,103.4,104.8,117.1,104.6
747,103.4,104.8,117.5,104.6
748,103.9,104.8,116.7,104.6
749,101.7,104.8,114.4,104.6
750,102.8,104.8,115.1,104.6
751,102.5,104.8,115.7,104.6
752,103.3,104.8,116.4,104.6
753,103.8,104.8,116.9,104.6
754,104.5,104.8,117.5,104.6
755,104.4,104.8,118,104.6
756,104.5,104.8,118.5,104.6
757,104.7,104.8,118.8,104.6
758,105.2,104.8,118.2,104.6
759,105.8,104.8,118.5,104.6
760,106.5,104.8,116.6,104.6
761,104,104.8,112.9,104.6
762,104.3,104.8,112.1,104.6
763,104.7,104.8,113.1,104.6
764,105.5,104.8,114.1,104.6
765,105.7,104.8,114.8,104.6
766,106,104.8,115.5,104.6
767,105.8,104.8,116.2,104.6
768,106.5,104.8,116.7,104.6
769,107.1,104.8,117.2,104.6
770,107.3,104.8,116.7,104.6
771,107.7,104.8,117.3,104.6
772,107,104.8,115.1,104.6
773,104.4,104.8,112.4,104.6
774,104.9,104.8,113.3,104.6
775,105.1,104.8,113.7,104.6
776,105.3,104.8,114.3,104.6
777,105.2,104.8,114.9,104.6
778,105.7,104.8,113.7,104.6
779,105.5,104.8,114.1,104.6
780,105.6,104.8,114.1,104.6
781,105.6,104.8,114.3,104.6
782,105.9,104.8,113.8,104.6
783,105.7,104.8,114.1,104.6
784,106,104.8,111.9,104.6
785,103.4,104.8,108.7,104.6
786,103.1,104.8,109.9,104.6
787,103.2,104.8,110.7,104.6
788,103.1,104.8,111.3,104.6
789,103.4,104.8,111.2,104.6
790,103.9,104.8,112.1,104.6
791,103.7,104.8,112.5,104.6
792,104.2,104.8,112.9,104.6
793,104.3,104.8,113.2,104.6
794,104.6,104.8,112.6,104.6
795,104.8,104.8,112.7,104.6
796,105,104.8,109.5,104.6
797,102.7,104.8,106.5,104.6
798,103.5,104.8,107.1,104.6
799,103.6,104.8,107,104.6
800,104.7,104.8,107.4,104.6
801,105.1,104.8,107.7,104.6
802,105.8,104.8,108.4,104.6
803,105.8,104.8,108.2,104.6
804,105.6,104.8,108.1,104.6
805,105.8,104.8,108,104.6
806,105.8,104.8,107.6,104.6
807,106.1,104.8,107.2,104.6
808,106.9,104.8,104.8,104.6
809,104.6,104.8,102.2,104.6
810,105,104.8,101.1,104.6
811,105,104.8,101.3,104.6
812,105.3,104.8,101.4,104.6
813,104.7,104.8,101.1,104.6
814,104.9,104.8,101.4,104.6
815,104.7,104.8,101,104.6
816,104.8,104.8,100.8,104.6
817,104.7,104.8,100.3,104.6
818,105.1,104.8,100.3,104.6
819,104.9,104.8,100.2,104.6
820,104.4,104.8,98.4,104.6
821,101.7,104.8,95.8,104.6
822,102.3,104.8,96.5,104.6
823,102.4,104.8,96.5,104.6
824,103.1,104.8,97.2,104.6
